"Story","Title","Result","Date","Stability","Duration (s)"
"Categories test","This will get all the categories","SUCCESS","2022-06-07T21:36:57.126+01:00[Europe/London]","0.0","4.71"
"Categories test","This will create new categories","SUCCESS","2022-06-07T21:37:01.873+01:00[Europe/London]","0.0","0.55"
"Categories test","Verify if categories is created","SUCCESS","2022-06-07T21:37:02.423+01:00[Europe/London]","0.0","0.26"
"Categories test","Update the information and verify if it is updated","SUCCESS","2022-06-07T21:37:02.682+01:00[Europe/London]","0.0","0.11"
"Categories test","Deleting categories and verify if it is deleted","SUCCESS","2022-06-07T21:37:02.791+01:00[Europe/London]","0.0","0.7"
"Products test","This will give total products","SUCCESS","2022-06-07T21:37:06.025+01:00[Europe/London]","0.0","1.65"
"Services test","This will get all the services list","SUCCESS","2022-06-07T21:37:08.552+01:00[Europe/London]","0.0","0.1"
"Services test","This will create new services","SUCCESS","2022-06-07T21:37:08.658+01:00[Europe/London]","0.0","0.09"
"Services test","Verify if the information was added to servcies ","SUCCESS","2022-06-07T21:37:08.754+01:00[Europe/London]","0.0","0.06"
"Services test","Update the services and verify information","SUCCESS","2022-06-07T21:37:08.822+01:00[Europe/London]","0.0","0.14"
"Services test","Delete services by Id and verify if the services is deleted","SUCCESS","2022-06-07T21:37:08.961+01:00[Europe/London]","0.0","0.15"
"Stores test","This will get all store list","SUCCESS","2022-06-07T21:37:09.235+01:00[Europe/London]","0.0","0.13"
"Stores test","This will create new store","SUCCESS","2022-06-07T21:37:09.366+01:00[Europe/London]","0.0","0.1"
"Stores test","This will get store by id","SUCCESS","2022-06-07T21:37:09.472+01:00[Europe/London]","0.0","0.05"
"Stores test","Update the product information and verify updated information","SUCCESS","2022-06-07T21:37:09.523+01:00[Europe/London]","0.0","0.11"
